PerfectGroup(30720,35) |Phi|=32 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(30720,36) |Phi|=32 violated by |a|=2 |b|=5 |ab|=5
PerfectGroup(30720,37) |Phi|=32 violated by |a|=2 |b|=5 |ab|=5
PerfectGroup(32256,1) |Phi|=1 violated by |a|=2 |b|=7 |ab|=7
PerfectGroup(32256,2) |Phi|=64 violated by |a|=4 |b|=7 |ab|=7
PerfectGroup(32736,1) |Phi|=1 violated by |a|=31 |b|=2 |ab|=2
PerfectGroup(34440,1) |Phi|=1 violated by |a|=20 |b|=41 |ab|=20
PerfectGroup(34560,1) |Phi|=6 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(34560,2) |Phi|=6 violated by |a|=2 |b|=5 |ab|=5
PerfectGroup(34560,3) |Phi|=6 violated by |a|=2 |b|=5 |ab|=5
PerfectGroup(34560,4) |Phi|=96 violated by |a|=2 |b|=5 |ab|=5
PerfectGroup(37500,1) |Phi|=5 violated by |a|=5 |b|=3 |ab|=3
PerfectGroup(39600,1) |Phi|=1 violated by |a|=3 |b|=2 |ab|=3
PerfectGroup(39732,1) |Phi|=1 violated by |a|=7 |b|=43 |ab|=7
PerfectGroup(40320,1) |Phi|=4 violated by |a|=3 |b|=7 |ab|=3
PerfectGroup(40320,2) |Phi|=1 violated by |a|=3 |b|=2 |ab|=3
PerfectGroup(40320,3) |Phi|=2 violated by |a|=3 |b|=7 |ab|=7
PerfectGroup(40320,4) |Phi|=2 violated by |a|=2 |b|=5 |ab|=2
PerfectGroup(43008,1) |Phi|=32 violated by |a|=8 |b|=3 |ab|=3
PerfectGroup(43008,2) |Phi|=32 violated by |a|=3 |b|=8 |ab|=4
PerfectGroup(43008,3) |Phi|=32 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(43008,4) |Phi|=4 violated by |a|=2 |b|=7 |ab|=7
PerfectGroup(43008,5) |Phi|=4 violated by |a|=2 |b|=7 |ab|=7
PerfectGroup(43008,6) |Phi|=32 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(43008,7) |Phi|=32 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(43008,8) |Phi|=4 violated by |a|=2 |b|=7 |ab|=7
PerfectGroup(43008,9) |Phi|=4 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(43008,10) |Phi|=4 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(43008,11) |Phi|=4 violated by |a|=2 |b|=3 |ab|=3
PerfectGroup(43008,12) |Phi|=4 violated by |a|=4 |b|=3 |ab|=3
PerfectGroup(43008,13) |Phi|=4 violated by |a|=4 |b|=3 |ab|=6
PerfectGroup(43008,14) |Phi|=4 violated by |a|=2 |b|=7 |ab|=7
PerfectGroup(43008,15) |Phi|=4 violated by |a|=4 |b|=3 |ab|=6
PerfectGroup(43008,16) |Phi|=4 violated by |a|=2 |b|=7 |ab|=7
